step,loss
01212,5.8739
01213,5.8697
01214,5.8631
01215,5.8710
01216,5.8690
01217,5.8703
01218,5.8715
01219,5.8627
01220,5.8725
01221,5.8681
01222,5.8717
01223,5.8667
01224,5.8715
01225,5.8785
01226,5.8785
01227,5.8864
01228,5.8861
01229,5.8776
01230,5.8678
01231,5.8716
01232,5.8649
01233,5.8761
01234,5.8708
01235,5.8782
01236,5.8839
01237,5.8723
01238,5.8652
01239,5.8734
01240,5.8723
01241,5.8725
01242,5.8908
01243,5.8728
01244,5.8737
01245,5.8662
01246,5.8738
01247,5.8854
01248,5.8883
01249,5.8819
01250,5.8715
01251,5.8691
01252,5.8747
01253,5.8724
01254,5.8748
01255,5.8762
01256,5.8770
01257,5.8901
01258,5.8731
01259,5.8699
01260,5.8743
01261,5.8727
01262,5.8659
01263,5.8805
01264,5.8751
01265,5.8674
01266,5.8659
01267,5.8672
01268,5.8701
01269,5.8971
01270,5.8790
01271,5.8723
01272,5.8704
01273,5.8672
01274,5.8658
01275,5.8752
01276,5.8588
01277,5.8575
01278,5.8550
01279,5.8679
01280,5.8733
01281,5.8749
01282,5.8658
01283,5.8662
01284,5.8638
01285,5.8732
01286,5.8727
01287,5.8728
01288,5.8712
01289,5.8683
01290,5.8661
01291,5.8680
01292,5.8697
01293,5.8736
01294,5.8727
01295,5.8620
01296,5.8585
01297,5.8689
01298,5.8680
01299,5.8634
01300,5.8650
01301,5.8712
01302,5.8811
01303,5.8736
01304,5.8864
01305,5.8684
01306,5.8612
01307,5.8673
01308,5.8740
01309,5.8714
01310,5.8699
01311,5.8845
01312,5.8712
01313,5.8677
01314,5.8663
01315,5.8686
01316,5.8694
01317,5.8677
01318,5.8596
01319,5.8605
01320,5.8690
01321,5.8667
01322,5.8630
01323,5.8668
01324,5.8706
01325,5.8603
01326,5.8684
01327,5.8624
01328,5.8658
01329,5.8714
01330,5.8742
01331,5.8559
01332,5.8584
01333,5.8574
01334,5.8610
01335,5.8665
01336,5.8902
01337,5.8817
01338,5.8696
01339,5.8546
01340,5.8628
01341,5.8613
01342,5.8621
01343,5.8735
01344,5.8689
01345,5.8617
01346,5.8622
